Timestamp,Collar,Salinity_Transect,Elevation_Transect,Treatment,Home_Salinity,Home_Elevation,Local_Salinity,Local_Elevation,Origin_Plot,Destination_Plot,meanFlux,sdFlux,meanSM,meanT5,meanT20
2018-06-21T19:21:19Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,5.17,0.636396103,0.442071429,22.23176197,19
2018-07-12T16:36:35Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,6.015,0.84145707,0.151428571,23.01032579,20
2018-07-20T15:29:29Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,6.91,1.329360749,0.406611842,21.32767475,20
2018-08-09T16:16:18Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,4.335,0.077781746,-0.553,24.19162054,21.9
2018-08-24T22:24:21Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,3.7,0.028284271,0.459571429,21.39898884,20.8
2018-09-10T16:41:00Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,3.01,0.127279221,0.470714286,20.12322697,20.2
2018-10-12T16:44:07Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,2.43,0.325269119,1.69355692,19.16605631,20.3
2018-11-02T19:36:24Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,2.47,0.028284271,1.693071429,17.49433847,15.5
2019-01-01T23:15:21Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,1.935,1.180868325,0.500014509,9.7,9.2
2019-03-16T15:38:52Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,1.075,0.671751442,0.541940789,9.483455592,8.5
2019-05-16T17:05:01Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,1.86,0.523259018,0.507928571,14.65186303,13.2
2019-06-07T19:55:48Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,2.735,0.190918831,0.489271205,19.55419572,17.8
2019-08-09T19:05:37Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,4.925,0.049497475,1.693414063,24.37462662,NA
2019-08-22T19:43:15Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,4.615,0.007071068,-0.361625,25.47473874,NA
2019-10-23T15:42:57Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,2.03,0.494974747,-0.172171875,15.49314021,15.9
2018-05-02T15:01:36Z,11,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,2.87,0.480832611,0.451371652,15.62656696,12.1
