"","Sampling_Event","Time","Collar","Salinity_Transect","Elevation_Transect","Treatment","Home_Salinity","Home_Elevation","Local_Salinity","Local_Elevation","Origin_Plot","Destination_Plot","meanFlux","sdFlux","meanSM","meanT5","meanT20","Season","PeakAct","Year"
"17",2019-10-18,"16:30:47",1,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",2.09,0.890954544,-0.118505757,13.25705016,14.7,"Fall","Other","2019"
"18",2018-04-05,"15:24:35",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",1.183333333,0.277908858,0.25778125,6.967192575,NA,"Spring","Other","2018"
"19",2018-05-02,"19:44:48",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",4.035,0.417193001,0.489500812,18.70517614,12.8,"Spring","Other","2018"
"20",2018-05-09,"18:16:29",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",5.09,1.569777054,0.436026727,18.38298396,14.2,"Spring","Other","2018"
"21",2018-05-25,"21:45:38",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",5.49,0.141421356,0.489928571,21.87161303,17,"Spring","Other","2018"
"22",2018-06-12,"20:52:10",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",5.07,0.692964646,0.431657366,19.9115208,17.7,"Summer","Summer","2018"
"23",2018-07-05,"20:27:18",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",11.53,0,0.461142857,26.52942238,23.2,"Summer","Summer","2018"
"24",2018-07-16,"20:53:52",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",9.255,0.16263456,0.286800223,25.78145333,21.8,"Summer","Summer","2018"
"25",2018-08-06,"16:59:56",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",5.435,0.16263456,0.423756696,25.11761242,22.5,"Summer","Summer","2018"
"26",2018-10-05,"19:21:11",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",3.85,0.155563492,1.691928571,19.74836039,20.3,"Fall","Other","2018"
"27",2018-11-01,"17:25:12",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",3.08,0.565685425,1.692927632,14.28780674,13.6,"Fall","Other","2018"
"28",2018-12-07,"20:59:59",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",0.71,0.395979797,0.531,5.4,6.9,"Winter","Other","2018"
"29",2019-03-12,"16:10:06",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",0.865,0.544472222,0.531,5.638062911,5.5,"Spring","Other","2019"
"30",2019-05-21,"15:13:46",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",6.47,4.002224382,0.45,17.7601594,16.7,"Spring","Other","2019"
"31",2019-07-03,"14:39:23",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",4.955,2.651650429,0.489,21.86865864,20.6,"Summer","Summer","2019"
"32",2019-07-29,"17:02:07",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",7.905,2.694076836,0.393657366,23.97435024,22.3,"Summer","Summer","2019"
"33",2019-08-21,"16:35:20",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",9.115,2.595081887,0.202622944,24.22094243,23.1,"Summer","Summer","2019"
"34",2019-10-18,"16:00:13",2,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",2.875,0.38890873,-0.13228683,14.29303906,15.4,"Fall","Other","2019"
"35",2018-04-06,"15:58:14",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",4.25,0.449110231,0.317713542,8.703830763,7.6,"Spring","Other","2018"
"36",2018-05-02,"19:07:28",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",6.985,1.491995308,0.361199777,17.3745068,12.5,"Spring","Other","2018"
"37",2018-05-09,"18:33:41",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",6.905,1.477853173,0.315683388,17.18410362,14.2,"Spring","Other","2018"
"38",2018-06-12,"21:35:56",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",14.075,1.817264428,0.375414063,19.78712358,17.6,"Summer","Summer","2018"
"39",2018-07-05,"21:22:29",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",20.2550005,2.51022978,0.240792208,26.66061469,23.3,"Summer","Summer","2018"
"40",2018-07-16,"19:45:47",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",14.37,0.735391052,0.188800223,26.40686912,22,"Summer","Summer","2018"
"41",2018-08-06,"16:27:42",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",14.07,0.509116882,0.397357143,25.67822545,22.7,"Summer","Summer","2018"
"42",2018-08-16,"18:25:22",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",14.85,1.456639969,0.455,25.39750852,22.5,"Summer","Summer","2018"
"43",2018-10-05,"18:21:23",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",3.835,0.940452019,1.691357143,19.26369511,20.4,"Fall","Other","2018"
"44",2018-11-01,"15:03:10",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",4.285,0.530330086,1.686972862,13.43810814,13.1,"Fall","Other","2018"
"45",2018-12-07,"18:24:11",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",3.885,1.477853173,0.458,5.9,7.6,"Winter","Other","2018"
"46",2019-03-12,"15:19:42",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",2.285,1.548563851,0.39886102,6.56929852,6.1,"Spring","Other","2019"
"47",2019-05-21,"16:07:30",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",7.6,0.523259018,0.420857143,18.23439458,16.4,"Spring","Other","2019"
"48",2019-06-12,"15:27:16",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",9.725,0.360624458,0.436072368,18.5430037,18,"Summer","Summer","2019"
"49",2019-07-29,"17:25:06",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",11.85,1.428355698,0.333300223,25.82148346,23,"Summer","Summer","2019"
"50",2019-08-21,"16:17:50",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",10.445,0.601040764,-0.323105674,24.60281579,23.2,"Summer","Summer","2019"
"51",2019-10-18,"17:09:39",3,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",5.545,1.704127343,-0.162074424,14.13098684,14.9,"Fall","Other","2019"
"52",2018-04-05,"15:42:06",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",3.03,1.059575387,0.248656994,8.146524012,7.3,"Spring","Other","2018"
"53",2018-05-02,"20:00:41",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",4.855,0.021213203,0.436922078,21.14716315,12.2,"Spring","Other","2018"
"54",2018-05-09,"18:22:12",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",5.815,0.007071068,0.423796053,16.40029441,13.4,"Spring","Other","2018"
"55",2018-05-25,"21:09:44",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",6.335,0.176776695,0.406657366,22.94295241,16.6,"Spring","Other","2018"
"56",2018-06-12,"20:27:57",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",11.035,0.190918831,0.487,20.12677942,17.1,"Summer","Summer","2018"
"57",2018-07-05,"19:26:32",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",16.245,0.473761543,0.469928571,29.1383471,23.4,"Summer","Summer","2018"
"58",2018-07-16,"21:02:50",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",15.87,1.48492424,0.414736607,26.90480317,22.3,"Summer","Summer","2018"
"59",2018-08-06,"15:33:04",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",8.2,0.127279221,0.417285714,24.68213768,22.2,"Summer","Summer","2018"
"60",2018-08-16,"17:43:15",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",9.93,0.056568542,0.43455692,26.03951147,22.3,"Summer","Summer","2018"
"61",2018-10-05,"19:42:26",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",7.42,0.480832611,1.691699777,19.60871834,20.3,"Fall","Other","2018"
"62",2018-11-01,"15:46:27",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",4.195,0.445477272,1.687456473,13.76308847,13.3,"Fall","Other","2018"
"63",2019-03-12,"16:28:52",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",0.805,0.247487373,0.524585938,5.624344984,5.3,"Spring","Other","2019"
"64",2019-05-21,"14:44:03",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",3.67,0.749533188,0.489,17.1501112,16.3,"Spring","Other","2019"
"65",2019-06-12,"17:11:10",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",10.945,4.376990976,0.472514509,18.74495698,17.7,"Summer","Summer","2019"
"66",2019-07-03,"14:48:29",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",15.83,22.75469622,0.44961039,22.19214073,20.7,"Summer","Summer","2019"
"67",2019-07-29,"15:43:46",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",9.465,0.629325035,0.391,24.06941579,22.4,"Summer","Summer","2019"
"68",2019-08-21,"14:55:06",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",17.355,7.629682169,-0.299388393,23.74365341,23.2,"Summer","Summer","2019"
"69",2019-10-18,"15:51:52",4,"Y","Y","Trenched","High","Low","High","Low","HSLE","HSLE",8.09,3.818376618,-0.122416118,13.35894696,15.3,"Fall","Other","2019"
"70",2018-05-02,"17:47:06",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",4.465,0.16263456,0.377928571,18.04734162,12.4,"Spring","Other","2018"
"71",2018-05-15,"14:28:30",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",8.115,0.134350288,0.426341694,18.33975329,15.7,"Spring","Other","2018"
"72",2018-06-08,"15:34:21",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",9.045,1.704127343,0.385485491,18.41996134,16.7,"Summer","Summer","2018"
"73",2018-06-21,"14:47:56",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",18.2700005,4.497199835,0.39109933,21.71916792,20.2,"Summer","Summer","2018"
"74",2018-07-16,"15:46:30",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",15.6200005,2.234458136,0.100657366,23.75658908,20.4,"Summer","Summer","2018"
"75",2018-07-20,"19:32:46",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",11.185,0.572756493,0.27355692,22.18142187,20.1,"Summer","Summer","2018"
"76",2018-08-09,"19:12:06",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",12.09,2.418305192,-0.553,24.70548742,22.6,"Summer","Summer","2018"
"77",2018-08-24,"19:44:20",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",12.87,1.442497834,0.203342634,21.18031422,20.4,"Summer","Summer","2018"
"78",2018-09-10,"19:47:47",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",11.87,3.422396821,0.197470982,20.62200142,19.8,"Fall","Other","2018"
"79",2018-10-12,"14:07:53",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",10,3.252691193,1.689514509,17.98690077,21.1,"Fall","Other","2018"
"80",2018-11-02,"15:58:11",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",7.255,0.601040764,1.694071429,17.55956737,15.9,"Fall","Other","2018"
"81",2018-11-21,"16:54:30",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",2.105,0.007071068,-0.067686384,9.61732498,11.5,"Fall","Other","2018"
"82",2019-01-01,"20:45:48",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",3.975,0.657609307,0.377722039,10.8,10.2,"Winter","Other","2019"
"83",2019-03-16,"18:30:08",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",2.365,1.053589104,0.356399554,12.06946216,9.5,"Spring","Other","2019"
"84",2019-05-16,"14:30:40",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",8.685,2.524371209,0.41061102,13.10806867,12.9,"Spring","Other","2019"
"85",2019-06-07,"15:08:49",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",7.14,0.749533188,0.404486431,19.97743298,17.8,"Summer","Summer","2019"
"86",2019-08-09,"17:46:51",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",13,1.81019336,0.176058036,23.22372027,NA,"Summer","Summer","2019"
"87",2019-08-22,"14:45:09",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",9.4,1.301076477,-0.256095982,23.07896875,NA,"Summer","Summer","2019"
"88",2019-09-20,"19:33:30",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",7.315,3.358757211,-0.280277549,19.70189967,18.5,"Fall","Other","2019"
"89",2019-10-23,"19:02:26",5,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",7.095,0.728319985,-0.22798273,19.47949383,16.1,"Fall","Other","2019"
"90",2018-05-02,"17:52:14",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",5.325,2.920351006,0.224142857,20.33104383,12.7,"Spring","Other","2018"
"91",2018-05-15,"14:20:19",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",9.875,2.001112191,0.140270089,17.97547423,15.7,"Spring","Other","2018"
"92",2018-06-08,"15:50:06",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",6.26,0.890954544,0.378899554,17.95292411,18.4,"Summer","Summer","2018"
"93",2018-07-16,"15:42:04",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",7.41,2.078893937,0.034928571,24.03471175,20.4,"Summer","Summer","2018"
"94",2018-07-20,"19:39:33",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",9.955,4.928534265,0.287485491,21.37483056,20.3,"Summer","Summer","2018"
"95",2018-08-09,"19:05:04",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",8.8,1.145512986,-0.553,24.30290749,21.8,"Summer","Summer","2018"
"96",2018-08-24,"19:37:18",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",8.315,1.704127343,0.363,21.81742999,21,"Summer","Summer","2018"
"97",2018-09-10,"19:54:37",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",12.6,4.044650788,0.26852567,20.92452516,20.2,"Fall","Other","2018"
"98",2018-10-12,"14:03:49",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",8.365,0.770746391,1.687518681,19.47459251,21.1,"Fall","Other","2018"
"99",2018-11-02,"15:50:43",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",7.37,1.58391919,1.692342634,19.08686475,19.1,"Fall","Other","2018"
"100",2018-11-21,"16:47:22",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",2.685,0.190918831,-0.109100446,11.48859568,11.8,"Fall","Other","2018"
"101",2019-01-01,"20:42:22",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",5.13,0.777817459,0.292828125,11.4,10.8,"Winter","Other","2019"
"102",2019-03-16,"18:37:16",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",2.02,0.212132034,0.217196546,12.98962007,10,"Spring","Other","2019"
"103",2019-05-16,"14:23:47",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",7.57,0.565685425,0.315399554,13.51900264,13.1,"Spring","Other","2019"
"104",2019-06-07,"14:59:04",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",5.855,0.176776695,0.117486431,19.80418051,17.3,"Summer","Summer","2019"
"105",2019-08-09,"17:40:02",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",13.395,3.528462838,0.417529018,23.59719602,NA,"Summer","Summer","2019"
"106",2019-08-22,"14:37:15",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",12.92,2.319310242,-0.28873273,24.15602344,NA,"Summer","Summer","2019"
"107",2019-09-20,"19:37:24",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",2.85,0.084852814,-0.270416118,20.66653331,19.7,"Fall","Other","2019"
"108",2019-10-23,"18:52:38",6,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",7.995,0.813172798,-0.235855263,19.63818586,17.1,"Fall","Other","2019"
"109",2018-05-02,"17:00:54",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",3.01,0.664680374,0.398271205,15.65029576,12,"Spring","Other","2018"
"110",2018-05-15,"15:09:10",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",4.915,1.29400541,0.4855,17.45554564,15.3,"Spring","Other","2018"
"111",2018-06-08,"16:16:48",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",6.455,2.085965005,0.375842634,18.12979129,16.9,"Summer","Summer","2018"
"112",2018-06-21,"15:37:39",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",7.755,1.42128463,0.497828125,21.50924797,19.6,"Summer","Summer","2018"
"113",2018-07-16,"16:18:11",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",8.22,1.258650071,0.420285714,22.54322829,20.3,"Summer","Summer","2018"
"114",2018-07-20,"18:58:50",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",7.85,0.791959595,0.29505692,22.11481899,20.2,"Summer","Summer","2018"
"115",2018-08-09,"19:43:49",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",6.81,1.046518036,-0.553,24.39016011,22.3,"Summer","Summer","2018"
"116",2018-08-24,"20:15:32",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",6.135,1.788980156,0.472857143,21.16021631,20.7,"Summer","Summer","2018"
"117",2018-09-10,"18:45:42",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",5.655,1.011162697,0.444642857,20.03341477,20.1,"Fall","Other","2018"
"118",2018-10-09,"15:26:35",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",3.91,0.311126984,1.69563199,21.75602632,20.8,"Fall","Other","2018"
"119",2018-10-12,"14:36:54",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",3.375,0.572756493,1.66544308,18.74378592,20.7,"Fall","Other","2018"
"120",2018-11-02,"16:30:51",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",3.175,0.799030663,1.693485491,17.0715138,15.8,"Fall","Other","2018"
"121",2019-01-01,"21:21:34",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",1.01,0,0.45353824,10.3,9.5,"Winter","Other","2019"
"122",2019-03-16,"17:59:39",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",1.98,0.777817459,0.433203536,10.16576316,8.6,"Spring","Other","2019"
"123",2019-05-16,"15:01:05",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",4.44,1.173797257,0.382899554,13.51788971,13.2,"Spring","Other","2019"
"124",2019-06-07,"15:53:01",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",7.035,1.6475588,0.458342634,19.39524452,17.5,"Summer","Summer","2019"
"125",2019-08-09,"18:17:33",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",5.295,0.572756493,1.697703536,22.73853454,NA,"Summer","Summer","2019"
"126",2019-08-22,"15:24:32",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",8.35,2.969848481,0.094921875,23.45953998,NA,"Summer","Summer","2019"
"127",2019-09-20,"18:57:31",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",1.07,0.084852814,-0.256976974,18.99619449,19,"Fall","Other","2019"
"128",2019-10-23,"19:38:11",7,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",1.77,0.042426407,-0.232597039,17.09572697,16.3,"Fall","Other","2019"
"129",2018-05-02,"17:16:14",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",6.315,0.148492424,0.276699777,14.15660917,12.1,"Spring","Other","2018"
"130",2018-05-15,"15:31:17",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",9.96,1.555634919,0.319874178,17.8081361,15.7,"Spring","Other","2018"
"131",2018-06-08,"16:39:55",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",10.48,1.499066376,0.384685268,18.50679099,17,"Summer","Summer","2018"
"132",2018-06-21,"16:06:57",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",17.825,8.124656916,0.224414063,22.01379058,19.7,"Summer","Summer","2018"
"133",2018-07-16,"16:42:03",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",17.255,8.492352442,0.075857143,23.78787338,21,"Summer","Summer","2018"
"134",2018-07-20,"18:36:42",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",15.6600005,6.052834754,0.285414063,22.32238738,20.8,"Summer","Summer","2018"
"135",2018-08-09,"20:10:58",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",15.5450005,7.516545791,-0.553,25.18149432,22.3,"Summer","Summer","2018"
"136",2018-08-24,"20:36:42",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",9.04,2.305168107,0.374470982,22.48920282,21.2,"Summer","Summer","2018"
"137",2018-09-10,"19:07:05",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",11.28,4.511341264,0.399470982,29.87261688,21,"Fall","Other","2018"
"138",2018-10-12,"14:59:30",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",5.125,0.940452019,1.689142857,17.84991295,20.5,"Fall","Other","2018"
"139",2018-11-02,"16:55:23",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",5.85,1.48492424,1.694,17.51483624,16.4,"Fall","Other","2018"
"140",2019-01-01,"21:42:10",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",3.35,1.074802307,0.420414063,10.7,9.9,"Winter","Other","2019"
"141",2019-03-16,"17:39:05",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",1.415,0.657609307,0.390714286,10.18497991,8.6,"Spring","Other","2019"
"142",2019-05-16,"15:20:47",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",11.635,6.30032142,0.244357143,13.97245404,13.4,"Spring","Other","2019"
"143",2019-06-07,"16:22:16",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",10.19,2.107178208,0.021657366,19.93317137,17.8,"Summer","Summer","2019"
"144",2019-08-09,"18:33:54",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",19.0950005,0.219202395,1.697142857,24.20325568,NA,"Summer","Summer","2019"
"145",2019-08-22,"15:48:44",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",20.6949995,1.393001066,1.913485491,23.82910511,NA,"Summer","Summer","2019"
"146",2019-09-20,"18:25:48",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",5.685,0.38890873,-0.272603795,19.88678784,19.5,"Fall","Other","2019"
"147",2019-10-23,"20:06:23",8,"Y","N","Trenched","High","Low","Mid","Low","HSLE","MSLE",4.25,0.339411255,-0.23273273,17.41515954,16.4,"Fall","Other","2019"
"148",2018-05-02,"15:14:10",9,"Y","N","Trenched","High","Low","Low","Low","HSLE","LSLE",1.64,0.113137085,0.301486431,15.07728372,12.3,"Spring","Other","2018"
"149",2018-05-15,"18:31:39",9,"Y","N","Trenched","High","Low","Low","Low","HSLE","LSLE",3.675,0.120208153,0.31788199,19.53168092,16.1,"Spring","Other","2018"
"150",2018-06-08,"18:24:49",9,"Y","N","Trenched","High","Low","Low","Low","HSLE","LSLE",4.1,1.202081528,0.40094308,18.69975649,16.8,"Summer","Summer","2018"
"151",2018-06-21,"18:59:37",9,"Y","N","Trenched","High","Low","Low","Low","HSLE","LSLE",5.66,1.923330445,0.440342634,21.49642147,20,"Summer","Summer","2018"
"152",2018-07-12,"15:33:31",9,"Y","N","Trenched","High","Low","Low","Low","HSLE","LSLE",5.085,0.997020561,0.177408717,21.68060896,20.2,"Summer","Summer","2018"
"153",2018-07-20,"15:52:34",9,"Y","N","Trenched","High","Low","Low","Low","HSLE","LSLE",5.655,1.562705986,0.373784316,20.95825115,20,"Summer","Summer","2018"
